Transaction_ID,Date,Product_Category,Product_Name,Quantity_Sold,Unit_Price,Payment_Method,Customer_Type,Region,Discount_Applied,Total_Sales
1001,2026-04-13,Rice,Vegetable Oil,2,840.6,GCash,Wholesale,Luzon,0.08,1546.7
1002,2026-02-21,Rice,Premium Rice,27,571.71,Bank Transfer,Wholesale,Mindanao,0.11,13738.19
1003,2026-04-03,Eggs,Premium Rice,21,909.63,Bank Transfer,Wholesale,Luzon,0.05,18147.12
1004,2026-01-15,Rice,Vegetable Oil,38,811.22,Cash,Wholesale,Visayas,0.08,28360.25
1005,2026-04-17,Rice,Well-Milled Rice,15,1177.12,Bank Transfer,Retail,Visayas,0.13,15361.42
1006,2026-03-13,Eggs,Well-Milled Rice,21,1105.78,Bank Transfer,Retail,Mindanao,0.07,21595.88
1007,2026-03-02,Oil,Well-Milled Rice,10,864.59,Cash,Wholesale,Luzon,0.05,8213.6
1008,2026-01-21,Oil,Sinandomeng,23,717.89,GCash,Retail,Mindanao,0.08,15190.55
1009,2026-04-13,Eggs,Well-Milled Rice,39,1488.04,Bank Transfer,Wholesale,Mindanao,0.11,51649.87
1010,2026-03-24,Eggs,Dinorado,5,954.0,Cash,Wholesale,Luzon,0.07,4436.1
1011,2026-03-28,Eggs,Angelika,1,1188.27,Bank Transfer,Retail,Mindanao,0.14,1021.91
1012,2026-03-16,Eggs,Well-Milled Rice,13,640.55,Bank Transfer,Retail,Visayas,0.04,7994.06
1013,2026-03-16,Eggs,Vegetable Oil,21,985.59,Bank Transfer,Wholesale,Mindanao,0.07,19248.57
1014,2026-03-29,Oil,Angelika,26,527.54,Bank Transfer,Wholesale,Luzon,0.11,12207.28
1015,2026-04-27,Oil,Sinandomeng,45,1005.46,Cash,Retail,Luzon,0.1,40721.13
1016,2026-04-10,Eggs,Vegetable Oil,21,1464.02,Cash,Wholesale,Visayas,0.13,26747.65
1017,2026-04-14,Rice,Angelika,18,884.21,Cash,Retail,Luzon,0.15,13528.41
1018,2026-01-24,Eggs,Vegetable Oil,37,539.0,Bank Transfer,Wholesale,Luzon,0.06,18746.42
1019,2026-01-03,Rice,Sinandomeng,45,530.96,Bank Transfer,Wholesale,Visayas,0.02,23415.34
1020,2026-01-22,Eggs,Dinorado,32,887.99,Bank Transfer,Retail,Mindanao,0.0,28415.68
1021,2026-02-22,Eggs,Sinandomeng,36,660.02,Cash,Retail,Visayas,0.11,21147.04
1022,2026-01-02,Oil,Sinandomeng,17,523.35,Bank Transfer,Retail,Mindanao,0.13,7740.35
1023,2026-03-29,Rice,Vegetable Oil,35,1256.21,GCash,Wholesale,Visayas,0.03,42648.33
1024,2026-04-18,Rice,Organic Eggs,49,958.52,Bank Transfer,Wholesale,Mindanao,0.02,46028.13
1025,2026-01-30,Oil,Premium Rice,11,789.24,GCash,Wholesale,Visayas,0.01,8594.82
1026,2026-02-07,Oil,Well-Milled Rice,21,1400.08,Bank Transfer,Wholesale,Mindanao,0.12,25873.48
1027,2026-01-02,Oil,Well-Milled Rice,26,616.14,Cash,Retail,Visayas,0.05,15218.66
1028,2026-03-05,Oil,Dinorado,4,1455.92,Bank Transfer,Wholesale,Mindanao,0.06,5474.26
1029,2026-03-01,Rice,Dinorado,34,813.97,GCash,Wholesale,Visayas,0.08,25460.98
1030,2026-01-21,Rice,Well-Milled Rice,48,1388.4,GCash,Wholesale,Luzon,0.13,57979.58
1031,2026-02-02,Eggs,Premium Rice,18,1102.94,Bank Transfer,Retail,Mindanao,0.1,17867.63
1032,2026-03-17,Eggs,Well-Milled Rice,40,1326.71,GCash,Wholesale,Visayas,0.09,48292.24
1033,2026-02-27,Oil,Organic Eggs,35,1484.01,GCash,Wholesale,Mindanao,0.03,50382.14
1034,2026-01-22,Oil,Premium Rice,41,788.41,Cash,Retail,Mindanao,0.08,29738.83
1035,2026-04-18,Oil,Dinorado,29,1461.14,Bank Transfer,Wholesale,Visayas,0.11,37712.02
1036,2026-03-30,Eggs,Angelika,29,889.48,Bank Transfer,Wholesale,Mindanao,0.15,21925.68
1037,2026-02-18,Eggs,Vegetable Oil,38,885.51,Bank Transfer,Retail,Visayas,0.03,32639.9
1038,2026-04-01,Eggs,Organic Eggs,42,840.39,GCash,Wholesale,Luzon,0.0,35296.38
1039,2026-02-28,Eggs,Organic Eggs,21,1041.41,Bank Transfer,Wholesale,Mindanao,0.01,21650.91
